cntry,happy,sclmeet,aesfdrk,health,rlgblg,rlgatnd,dscrgnd,likrisk,mascfel,femifel,impbemw,wprtbym,gndr,yrbrn,marsts,chldhhe,domicil,edulvlb,pdwrk,wkhtot
AT,8,4,2,3,1,6,0,2,4,0,3,2,1,1958,66,1,3,322,0,666
AT,9,7,3,2,2,7,0,0,3,6,3,2,2,2002,6,2,1,423,0,32
AT,9,4,3,1,2,5,1,0,0,6,5,4,2,1970,66,6,3,610,1,25
AT,7,6,3,3,1,6,0,0,0,6,5,3,2,1945,4,1,1,422,0,39
AT,9,5,1,2,1,7,0,1,0,5,5,3,1,1959,66,1,4,322,0,35
AT,8,6,2,1,1,5,0,2,6,6,6,3,2,1964,66,1,4,313,1,40
AT,7,4,3,2,1,5,0,1,0,5,4,2,2,1946,5,1,3,212,0,30
AT,8,4,2,2,1,5,0,0,0,6,5,3,2,1954,66,1,4,720,0,50
AT,8,4,2,2,1,5,0,2,0,6,0,2,2,1971,66,6,4,422,1,40
AT,7,3,2,2,1,3,0,0,0,4,4,2,2,1948,66,1,4,212,0,40
AT,8,4,2,2,1,5,0,1,0,5,5,2,2,1979,6,2,1,422,1,38
AT,5,4,2,2,1,6,0,0,6,0,5,8,1,1974,66,2,3,322,0,40
AT,7,6,1,2,1,5,0,0,0,6,6,3,2,1960,66,1,1,322,1,888
AT,8,4,2,3,1,3,0,0,0,4,4,2,2,1947,66,1,5,212,0,50
AT,5,6,2,3,2,7,0,2,0,6,6,2,2,1993,6,2,1,720,1,37
AT,9,6,2,1,1,7,0,1,0,6,6,1,2,1956,6,1,1,322,0,42
AT,10,6,1,1,1,5,0,1,4,4,4,5,1,1982,66,6,4,322,1,38
AT,8,2,1,2,1,6,0,4,2,5,5,2,2,1941,66,1,3,322,0,888
AT,8,2,1,1,2,7,0,0,5,0,5,2,1,1997,6,2,4,322,0,40
AT,5,6,3,2,2,6,0,4,6,0,6,2,1,1981,4,1,2,212,0,40
AT,8,6,1,2,1,5,0,3,4,5,6,2,2,1938,5,1,4,322,0,666
AT,7,5,1,2,1,4,0,3,3,6,6,2,1,1951,66,1,5,322,0,888
AT,5,6,2,1,2,7,0,3,6,0,5,2,1,1992,6,2,1,322,1,44
AT,8,6,2,1,2,6,0,3,6,0,6,1,1,1976,66,6,4,423,1,44
AT,8,6,2,1,1,4,0,2,0,6,5,3,2,1973,66,6,3,322,1,30
AT,8,4,2,3,2,6,0,0,3,3,4,3,2,1963,4,1,1,313,0,35
AT,8,4,2,2,1,5,0,2,0,6,1,2,2,1980,66,6,4,610,1,42
AT,8,6,2,2,1,5,0,2,0,5,6,3,2,1982,6,6,4,322,1,40
AT,7,4,1,1,1,5,0,1,0,6,5,1,2,1988,6,6,2,313,1,30
AT,8,4,1,3,2,6,0,5,1,5,3,2,2,1974,4,2,4,212,1,32
AT,8,3,2,2,1,5,0,0,0,6,6,3,2,1987,66,6,4,322,1,30
AT,7,4,2,1,2,6,0,0,6,0,6,4,1,1977,6,2,1,720,1,32
AT,9,5,1,1,1,5,0,0,0,6,6,2,2,1942,66,1,4,212,0,666
AT,7,6,2,2,2,5,0,4,1,6,5,1,2,1966,4,1,1,322,1,40
AT,9,4,1,3,2,7,0,1,0,6,5,3,2,1956,4,2,1,423,0,35
AT,10,4,2,2,1,7,0,2,1,5,5,2,2,1985,66,6,3,322,1,20
AT,9,6,2,2,1,4,0,4,0,6,6,4,2,1981,4,6,1,423,1,888
AT,9,6,3,1,1,7,0,1,2,6,6,3,2,1964,66,1,5,213,1,50
AT,7,2,1,3,1,3,0,1,0,6,6,4,1,1946,66,1,3,212,0,20
AT,7,4,1,2,1,4,0,0,6,0,5,2,1,1965,66,1,4,322,1,40
AT,8,6,2,3,1,6,0,3,0,6,4,1,2,1985,6,2,4,322,1,38
AT,9,6,1,2,1,5,0,1,0,6,6,2,2,1944,5,1,1,322,0,24
AT,8,6,2,1,2,7,0,3,8,8,88,4,2,1998,6,2,3,322,1,42
AT,9,5,1,1,1,5,0,0,0,6,6,2,2,1989,66,2,4,322,1,38
AT,8,2,1,2,1,3,0,2,4,0,4,3,1,1949,6,2,1,720,0,20
AT,7,6,2,3,2,6,0,2,6,0,5,2,1,1949,6,2,1,322,0,45
AT,8,6,1,1,1,5,0,3,2,5,5,3,2,1987,6,2,4,610,1,38
AT,6,5,2,2,2,7,0,4,6,2,4,2,1,1995,6,2,3,322,1,46
AT,7,4,2,3,1,6,0,1,5,0,6,2,1,1958,5,1,1,322,0,40
AT,5,5,2,2,1,6,0,3,1,4,4,2,2,1981,66,6,4,212,1,15
AT,6,3,1,4,2,7,0,1,6,0,6,2,1,1963,66,6,3,720,0,40
AT,9,6,1,2,1,5,0,2,4,2,4,3,1,1963,4,2,4,322,1,45
AT,7,7,2,1,1,7,0,1,0,6,6,2,2,2007,6,2,4,213,0,666
AT,8,6,1,1,1,6,0,3,6,0,6,2,1,1995,6,2,3,423,1,38
AT,9,4,2,1,1,5,0,1,0,6,6,3,2,1952,66,2,4,322,0,54
AT,3,6,1,3,2,7,0,3,0,6,4,5,2,2003,6,2,4,322,1,40
AT,7,6,2,3,1,3,0,0,0,6,6,3,2,1943,5,1,4,212,0,40
AT,8,4,1,2,1,5,0,1,0,6,5,2,2,1948,4,1,3,212,0,40
AT,8,5,1,2,1,6,0,1,6,0,5,2,1,1972,1,1,1,423,1,777
AT,7,3,3,3,1,5,0,2,0,6,6,5,2,1936,66,1,1,322,0,40
AT,9,7,1,2,2,6,0,5,5,0,6,2,2,1966,66,6,4,520,1,40
AT,8,2,2,3,2,7,0,2,5,0,5,2,1,1947,66,2,3,322,0,40
AT,6,3,3,3,1,7,0,3,6,0,6,2,1,1962,4,2,1,322,1,40
AT,7,4,1,2,2,7,0,1,0,6,6,3,2,1980,66,6,3,322,1,38
AT,6,5,3,3,1,3,0,0,0,6,4,2,2,1947,5,1,3,212,0,45
AT,8,6,1,1,1,6,0,4,2,5,5,3,2,1980,1,2,4,520,1,30
AT,8,4,2,2,1,6,0,3,6,0,1,2,1,1972,66,6,4,322,1,43
AT,9,5,2,2,1,6,0,3,5,1,3,2,1,1954,66,6,1,423,1,60
AT,9,6,1,2,1,4,0,1,0,6,4,2,2,1976,66,6,4,610,1,40
AT,7,2,2,3,1,3,0,2,4,0,4,2,1,1934,66,1,1,322,0,40
AT,8,4,1,2,1,5,0,0,6,0,6,2,1,1951,66,1,3,322,0,47
AT,5,3,1,3,1,6,0,0,0,4,6,2,2,1949,66,1,4,322,0,40
AT,9,5,2,1,1,4,0,2,0,5,5,3,2,1955,66,1,4,422,0,38
AT,9,5,1,1,2,7,0,4,0,6,6,3,2,1987,6,6,2,423,1,25
AT,9,6,2,1,2,6,0,3,6,0,5,3,1,1936,66,1,4,520,0,42
AT,8,5,2,2,1,3,0,1,0,5,4,8,2,1949,66,1,4,212,0,50
